Code,City,State
SDP,Sand Point,AK
SDY,Sidney,MT
SEA,Seattle,WA
SFB,Sanford,FL
SFO,San Francisco,CA
SFZ,Pawtucket,RI
SGF,Springfield,MO
SGH,Springfield,OH
SGJ,St Augustine,FL
SGU,St George,UT
SGY,Skagway,AK
SHD,Harrisonburg,VA
SHG,Shungnak,AK
SHH,Shishmaref,AK
SHR,Sheridan,WY
SHV,Shreveport,LA
SIG,San Juan,PR
SIT,Sitka,AK
SJC,San Jose,CA
SJT,San Angelo,TX
SJU,San Juan,PR
SKX,Taos,NM
SLC,Salt Lake City,UT
SLE,Salem,OR
SLK,Saranac Lake,NY
SLN,Salina,KS
SMF,Sacramento,CA
SMX,Santa Maria,CA
SNA,Orange County,CA
SNP,St Paul Island,AK
SOP,Pinehurst/Southern Pines,NC
SOV,Seldovia,AK
SOW,Show Low,AZ
SPI,Springfield,IL
SPS,Wichita Falls,TX
SQI,Sterling/Rockfalls,IL
SRQ,Sarasota,FL
SRR,Ruidoso,NM
STC,St Cloud,MN
STJ,St Joseph,MO
STL,Saint Louis,MO
STP,St Paul,MN
STS,Santa Rosa,CA
STT,Charlotte Amalie,VI
STX,Christiansted,VI
SUN,Hailey,ID
SUS,St Louis,MO
SUX,Sioux City,IA
SVA,Savoonga,AK
SVC,Silver City,NM
SWF,Newburgh,NY
SWO,Stillwater,OK
SYR,Syracuse,NY
T44,Kodiak,AK
TAL,Tanana,AK
TBN,Fort Leonard Wood,MO
TCL,Tuscaloosa,AL
TEB,Teterboro,NJ
TEX,Telluride,CO
TIX,Titusville,FL
TLH,Tallahassee,FL
TLT,Tuluksak,AK
TNI,Tinian Island,CQ
TOG,Togiak Village,AK
TOL,Toledo,OH
TPA,Tampa,FL
TPL,Temple,TX
TRI,Blountville,TN
TTN,Trenton,NJ
TUL,Tulsa,OK
TUP,Tupelo,MS
TUS,Tucson,AZ
TVC,Traverse City,MI
TVF,Thief River Falls,MN
TVL,South Lake Tahoe,CA
TVR,"Tallulah/Vicksburg, Mississippi",LA
TWF,Twin Falls,ID
TXK,Texarkana,AR
TYR,Tyler,TX
TYS,Knoxville,TN
UCA,Utica,NY
UIN,Quincy,IL
UNK,Unalakleet,AK
UNV,State College,PA
UOX,Oxford,MS
UUU,Newport,RI
VAK,Chevak,AK
VCT,Victoria,TX
VCV,Victorville,CA
VDZ,Valdez,AK
VGT,Las Vegas,NV
VIS,Visalia,CA
VLD,Valdosta,GA
VPS,Valparaiso,FL
VPZ,Valparaiso,IN
VQQ,Jacksonville,FL
VQS,Isla De Vieques,PR
VRB,Vero Beach,FL
WBB,Stebbins,AK
WDG,Enid,OK
WLK,Selawik,AK
WNA,Napakiak,AK
WRG,Wrangell,AK
WRL,Worland,WY
WST,Westerly,RI
WTK,Noatak,AK
WWD,Wildwood,NJ
WYS,West Yellowstone,MT
X44,Miami,FL
X95,Fajardo,PR
XNA,Fayetteville / Springdale,AR
YAK,Yakutat,AK
YKM,Yakima,WA
YKN,Yankton,SD
YNG,Youngstown,OH
YUM,Yuma,AZ
Z08,Ofu Village,AS
Z09,Kasigluk,AK
